mahaw	iic.			5004
sarva	iic.			3856
wax	iic.			2042
Xarma	iic.			1613
xeva	iic.			1121
sva	iic.			1100
rAjan	iic.			856
Axi	iic.			853
arWa	m. sg. acc.			827
brahman	iic.			787
arWa	iic.			663
vAwa	iic.	vA	pp.	659
parama	iic.			604
kqwa	iic.	kq	pp.	595
eka	iic.			584
nara	iic.			564
loka	iic.			563
SrI	iic.			552
piwwa	iic.			546
bala	iic.			540
Awman	iic.			539
kAla	iic.			533
guNa	iic.			531
Barawa	iic.			531
Awman	m. sg. nom.			527
puruRa	iic.			523
sawya	iic.			519
kaPa	iic.			515
agni	iic.			512
para	iic.			510
sama	iic.			488
karman	iic.			488
kAma	iic.			487
Pala	iic.			487
rasa	iic.			487
Sara	iic.			461
qRaBa	m. sg. voc.			455
BUwa	iic.	BU	pp.	451
pUrva	iic.			441
vexa	iic.			440
Axi	m. pl. nom.			434
pApa	iic.			434
wri	iic.			430
bahu	iic.			424
xoRa	iic.			418
puwra	iic.			414
raWa	iic.			414
Sawa	iic.			412
suKa	iic.			389
guru	iic.			387
vara	iic.			346
jFAna	iic.			346
kuru	iic.			336
viRa	iic.			332
yoga	iic.			328
rUpa	iic.			318
varRa	iic.			317
muni	iic.			316
xuHKa	iic.			313
bala	m. sg. nom.			308
rakwa	iic.	raFj	pp.	305
varNa	iic.			302
inxra	iic.			301
piwq	iic.			299
kula	iic.			294
puRpa	iic.			293
wawwva	iic.			292
canxra	iic.			292
inxra	m. sg. voc.			291
Soka	iic.			283
pAxa	iic.			279
Siva	iic.			279
SAswra	iic.			276
Baya	iic.			275
cawur	iic.			273
yajFa	iic.			273
vix	m. sg. nom.			271
nAga	iic.			266
manwra	iic.			266
wapas	iic.			265
heman	iic.			265
xeha	iic.			264
bAhu	m. sg. nom.			263
asmax	iic.			260
mArkaNdeya	m. sg. nom.			260
xvi	iic.			259
kqRNa	iic.			258
puNya	iic.			258
jiwa	iic.	ji	pp.	258
xivya	iic.			257
paFcan	iic.			257
sura	iic.			257
saw	iic.	as	ppr. [2] ac.	256
rAkRasa	iic.			253
sahasra	iic.			252
jFa	m. sg. nom.			248
pANdu	iic.			247
BIma	iic.			247
wejas	m. sg. nom.			247
jala	iic.			246
ganXarva	iic.			245
sUrya	iic.			243
xaSan	iic.			242
sawwva	iic.			238
nqpa	iic.			237
prANa	iic.			236
anna	iic.			232
sapwan	iic.			232
swrI	iic.			231
vajra	iic.			231
sawwama	m. sg. voc.			230
alpa	iic.			228
qRi	m. pl. nom.			228
jvara	iic.			225
brAhmaNa	iic.			222
qRi	iic.			222
anwa	m. sg. loc.			221
inxriya	iic.			216
rawna	iic.			216
SreRTa	m. sg. voc.			215
SafKa	iic.			213
arka	iic.			213
paxma	iic.			213
gaja	iic.			212
kqw	m. sg. nom.			209
priya	iic.			206
roga	iic.			205
xa	m. sg. nom.			205
Gna	n. sg. nom.			204
Axi	m. pl. i.			204
maya	m. sg. nom.			203
puwra	m. sg. nom.			203
sixXi	iic.			202
amiwa	iic.	am	pp.	202
mqga	iic.			201
hawa	iic.	han	pp.	199
aswra	iic.			199
arXa	iic.			198
SleRman	iic.			196
yuga	iic.			194
viRNu	iic.			194
Saswra	iic.			193
vAnara	iic.			192
vixyA	iic.			191
RaR	iic.			191
buxXi	iic.			191
vana	iic.			190
wIrWa	iic.			190
sWa	m. sg. nom.			188
mUla	iic.			188
xAnava	iic.			188
manas	iic.			186
xeSa	iic.			186
aSva	iic.			186
Xana	iic.			185
kroXa	iic.			185
yama	iic.			184
SarIra	iic.			183
mAMsa	iic.			183
xAha	iic.			182
mqwyu	iic.			181
Sakwi	iic.			180
svarga	iic.			180
loka	m. sg. acc.			180
anila	iic.			179
afga	iic.			179
kAla	m. sg. loc.			178
vIrya	iic.	vIra	pfp. [1]	178
wulya	iic.	wul	pfp. [1]	178
anwara	iic.			177
han	m. sg. nom.			174
gawa	iic.	gam	pp.	174
maXya	n. sg. loc.			174
Axi	m. pl. g.			172
SUla	iic.			172
ja	m. sg. nom.			172
gaxA	iic.			172
mUwra	iic.			171
Sawru	iic.			169
asura	iic.			169
ASrama	iic.			169
kRaya	iic.			168
vIra	iic.			168
BUwa	n. pl. g.	BU	pp.	168
rAma	iic.			167
Sabxa	iic.			166
cakra	iic.			166
karNa	iic.			165
xvija	iic.			164
maXya	iic.			163
xAna	iic.			163
sixXa	iic.	siX	pp.	162
raWa	m. sg. nom.			162
giri	iic.			162
yoga	m. sg. i.			161
kAsa	iic.			159
xravya	iic.			158
ganXa	iic.			158
kuRTa	iic.			158
vipra	iic.			158
kara	m. sg. nom.			157
pawwra	iic.			157
xEwya	iic.			157
SuxXa	iic.	SuX	pp.	156
kriyA	iic.			154
jarA	iic.			153
SIwa	iic.	SyA	pp.	153
vAc	iic.			153
SvAsa	iic.			153
ruxra	iic.			153
janman	iic.			153
maXu	iic.			152
wAmra	iic.			152
arWa	m. sg. loc.			151
mAwra	n. sg. i.			150
loha	iic.			150
xroNa	iic.			149
Axiwya	iic.			149
wala	m. sg. loc.			148
parvawa	iic.			147
anwa	iic.			147
hara	n. sg. nom.			147
koti	iic.			147
viSva	iic.			146
maNi	iic.			146
raWa	m. pl. nom.			145
jana	iic.			144
muKa	iic.			144
anya	iic.			144
uRNa	iic.			144
gaNa	iic.			144
inxra	m. sg. nom.			144
amqwa	iic.	mq	pp.	144
vaXa	iic.			143
xaNda	iic.			142
kara	n. sg. nom.			142
sneha	iic.			141
siMha	iic.			141
xqDa	iic.	xqh	pp.	141
garBa	iic.			140
xIrGa	iic.			140
Sakra	iic.			140
inxriya	m. sg. nom.			139
mAyA	iic.			138
vyAXi	iic.			138
vrawa	iic.			138
wraya	n. sg. acc.			138
kRIra	iic.			137
