mahaw	iic.			2542
sarva	iic.			2132
wax	iic.			1003
Xarma	iic.			959
xeva	iic.			631
sva	iic.			524
arWa	m. sg. acc.			448
SrI	iic.			414
rAjan	iic.			411
brahman	iic.			407
arWa	iic.			392
vAwa	iic.		pp.	389
piwwa	iic.			347
nara	iic.			324
parama	iic.			318
kaPa	iic.			317
loka	iic.			307
bala	iic.			298
Awman	iic.			295
kAma	iic.			291
puruRa	iic.			284
eka	iic.			277
guNa	iic.			274
Awman	m. sg. nom.			274
kAla	iic.			270
Pala	iic.			266
sama	iic.			261
rasa	iic.			260
mArkaNdeya	m. sg. nom.			260
vexa	iic.			258
Barawa	iic.			255
bahu	iic.			249
agni	iic.			246
karman	iic.			244
sawya	iic.			241
kqwa	iic.	kq	pp.	241
pApa	iic.			235
qRaBa	m. sg. voc.			234
puwra	iic.			231
pUrva	iic.			230
wri	iic.			229
para	iic.			220
xoRa	iic.			216
Axi	iic.			207
guru	iic.			204
Sawa	iic.			199
raWa	iic.			193
BUwa	iic.		pp.	191
yoga	iic.			183
bala	m. sg. nom.			181
rakwa	iic.		pp.	180
varRa	iic.			177
Sara	iic.			177
rUpa	iic.			176
vara	iic.			174
jFAna	iic.			172
SAswra	iic.			170
muni	iic.			168
rAkRasa	iic.			161
varNa	iic.			159
canxra	iic.			159
Siva	iic.			156
piwq	iic.			156
xeha	iic.			156
suKa	iic.			153
pAxa	iic.			151
yajFa	iic.			150
xivya	iic.			148
kuru	iic.			147
vix	m. sg. nom.			146
wawwva	iic.			146
max	iic.			145
viRa	iic.			143
inxra	m. sg. voc.			143
nAga	iic.			142
kula	iic.			142
xaSan	iic.			141
BIma	iic.			141
puRpa	iic.			140
inxra	iic.			140
sawwama	m. sg. voc.			139
jFa	m. sg. nom.			138
heman	iic.			138
ganXarva	iic.			138
Baya	iic.			138
sura	iic.			137
puNya	iic.			137
nqpa	iic.			137
manwra	iic.			136
xa	m. sg. nom.			135
amiwa	iic.		pp.	135
bAhu	m. sg. nom.			134
jiwa	iic.	ji	pp.	131
jala	iic.			131
wejas	m. sg. nom.			129
sahasra	iic.			129
alpa	iic.			129
paFcan	iic.			128
xvi	iic.			128
vAnara	iic.			126
anna	iic.			125
kqRNa	iic.			123
xAnava	iic.			122
arka	iic.			122
sixXi	iic.			120
cawur	iic.			120
Soka	iic.			117
inxriya	iic.			115
sUrya	iic.			114
SreRTa	m. sg. voc.			114
mqga	iic.			114
loka	m. sg. acc.			114
viRNu	iic.			113
sawwva	iic.			113
sapwan	iic.			113
mUla	iic.			113
wIrWa	iic.			112
wapas	iic.			112
ASrama	iic.			112
BUwa	n. pl. g.		pp.	111
vana	iic.			110
rAma	iic.			110
prANa	iic.			109
vixyA	iic.			108
priya	iic.			108
ruxra	iic.			106
qRi	iic.			105
mqwyu	iic.			105
anwa	m. sg. loc.			105
RaR	iic.			104
svarga	iic.			103
paxma	iic.			103
vIrya	iic.		pfp. [1]	101
swrI	iic.			101
roga	iic.			101
pANdu	iic.			101
aswra	iic.			101
Saswra	iic.			100
mAMsa	iic.			100
loha	iic.			100
Xana	iic.			100
SleRman	iic.			99
mUwra	iic.			99
xAna	iic.			99
vajra	iic.			98
wulya	iic.		pfp. [1]	98
buxXi	iic.			98
arXa	iic.			98
brAhmaNa	iic.			97
afga	iic.			97
SarIra	iic.			96
kqw	m. sg. nom.			96
kara	m. sg. nom.			96
jvara	iic.			96
xeSa	iic.			96
xAha	iic.			96
yuga	iic.			94
puwra	m. sg. nom.			94
maXya	n. sg. loc.			94
SIwa	iic.		pp.	93
mAwra	n. sg. i.			93
uRNa	iic.			92
SafKa	iic.			92
kAla	m. sg. loc.			92
xvija	iic.			92
raWa	m. sg. nom.			91
mokRa	iic.			91
giri	iic.			91
gaja	iic.			91
anwara	iic.			90
anila	iic.			90
sWa	m. sg. nom.			89
pawwra	iic.			89
kara	n. sg. nom.			89
sama	m. sg. nom.			88
hara	n. sg. nom.			88
asura	iic.			88
arWa	m. sg. loc.			88
vipra	iic.			87
wikwa	iic.		pp.	87
rawna	iic.			87
jarA	iic.			87
Sabxa	iic.			86
yoga	m. sg. i.			85
parvawa	iic.			85
ja	m. sg. nom.			85
xqDa	iic.		pp.	84
sahasra	n. pl. acc.			82
SUla	iic.			81
Sawru	iic.			81
maXya	iic.			81
kroXa	iic.			81
koti	iic.			81
katu	iic.			81
xravya	iic.			81
wAmra	iic.			80
maXu	iic.			80
kriyA	iic.			80
hawa	iic.	han	pp.	80
aSva	iic.			80
wala	m. sg. loc.			79
janman	iic.			79
xEwya	iic.			79
amla	iic.			79
yama	iic.			78
sneha	iic.			78
vaXa	iic.			77
niwya	iic.			77
gawa	iic.	gam	pp.	77
xaNda	iic.			77
Sakwi	iic.			76
inxra	m. sg. nom.			76
ganXa	iic.			76
apaha	n. sg. nom.			76
kRIra	iic.			75
gaxA	iic.			75
yuxXa	iic.		pp.	74
wraya	n. sg. acc.			74
nArAyaNa	iic.			74
maya	m. sg. nom.			74
xIrGa	iic.			74
vAkya	iic.		pfp. [1]	73
inxriya	m. sg. nom.			73
qRi	m. pl. nom.			72
ja	m. pl. nom.			72
cakra	iic.			72
vrawa	iic.			71
vix	m. pl. nom.			71
kRaya	iic.			71
yakRa	iic.			70
vAc	iic.			70
sWAna	iic.			70
siMha	iic.			70
sixXa	iic.		pp.	70
mAsa	iic.			70
garBa	iic.			70
xroNa	iic.			70
apaha	m. sg. nom.			70
vyAGra	m. sg. voc.			69
svarNa	iic.			69
manxa	iic.			69
uwwama	m. sg. nom.			68
kRawra	iic.			68
hari	iic.			68
xa	n. sg. nom.			68
Axi	m. pl. nom.			68
sWa	m. sg. acc.			67
Sruwi	iic.			67
raWa	m. pl. nom.			67
bAla	iic.			67
anwa	iic.			67
vyAXi	iic.			66
