ca	ind.			48173
na	ind.			17145
eva	ind.			15334
iwi	ind.			11984
wu	ind.			11053
api	ind.			10337
vac	pft. ac. sg. 3			10334
wax	m. sg. nom.			10133
waWA	ind.			8057
wawas	ind.			7607
hi	ind.			6485
asmax	* sg. g.			4920
iva	ind.			4889
vA	ind.			4865
wawra	ind.			4745
evam	ind.			4462
wax	m. sg. acc.			4236
wax	n. sg. acc.			4194
yax	m. sg. nom.			4169
yaWA	ind.			4116
wax	n. sg. nom.			4067
yuRmax	* sg. g.			4030
wax	m. sg. g.			3949
vE	ind.			3710
asmax	* sg. nom.			3645
punar	ind.			3323
wax	m. pl. nom.			3322
waxA	ind.			2859
aWa	ind.			2853
yax	n. sg. nom.			2704
yuRmax	* sg. nom.			2484
ixam	m. sg. nom.			2227
awra	ind.			2196
BU	opt. [1] ac. sg. 3			2102
ewax	n. sg. nom.			2032
saha	ind.			2016
wax	f. sg. nom.			2013
xqS	abs.			1985
sarva	m. pl. nom.			1925
iha	ind.			1863
rAjan	m. sg. nom.			1812
rAjan	m. sg. voc.			1798
ixam	m. sg. g.			1765
yax	m. pl. nom.			1738
asmax	* sg. i.			1737
BU	pr. [1] ac. sg. 3			1649
ewax	m. sg. nom.			1577
yaxi	ind.			1551
as	opt. [2] ac. sg. 3			1548
brU	impft. [2] ac. sg. 3			1526
Sru	abs.			1511
wax	m. sg. i.			1465
ha	ind.			1447
asmax	* sg. acc.			1423
yawra	ind.			1375
ixam	n. sg. nom.			1370
kq	abs.			1366
wax	m. pl. g.			1353
wax	f. sg. acc.			1324
ah	pft. ac. sg. 3			1311
as	pr. [2] ac. sg. 3			1282
kaWam	ind.			1262
kim	n. sg. nom.			1233
ewax	n. sg. acc.			1224
namas	n. sg. nom.			1211
wax	m. pl. acc.			1208
vESampAyana	m. sg. nom.			1174
yuRmax	* sg. acc.			1172
ixam	n. sg. acc.			1110
axya	ind.			1083
yuRmax	* sg. i.			1074
vac	pr. ps. sg. 3			1045
saxA	ind.			1042
yuRmax	* sg. dat.			1000
BArawa	m. sg. voc.			998
yax	m. sg. g.			986
BU	impft. [1] ac. sg. 3			985
nAma	ind.			982
yuXiRTira	m. sg. nom.			970
sarva	n. sg. nom.			948
ukwa	n. sg. nom.	vac	pp.	934
as	pr. [2] ac. sg. 2			926
purA	ind.			920
svayam	ind.			912
vac	abs.			907
asmax	* pl. g.			891
kim	m. sg. nom.			890
yax	n. sg. acc.			861
ukwa	m. sg. nom.	vac	pp.	853
yaxA	ind.			838
BIRma	m. sg. nom.			838
kq	opt. [8] ac. sg. 3			837
sarva	n. sg. acc.			828
axas	m. sg. nom.			825
xeva	m. pl. nom.			815
Xarma	m. sg. nom.			810
Bagavaw	m. sg. nom.			806
vacana	n. sg. acc.			802
jan	pr. [4] md. sg. 3			798
wax	m. sg. loc.			798
sma	ind.			789
sUwa	m. sg. nom.			778
ewax	m. pl. nom.			771
yAvaw	ind.			765
awas	ind.			762
saMSaya	m. sg. nom.			755
raNa	m. sg. loc.			750
kim	n. sg. acc.			750
puwra	m. sg. nom.			749
yawas	ind.			704
BU	fut. ac. sg. 3			696
nara	m. sg. nom.			687
as	pr. [2] ac. sg. 1			660
wax	n. sg. i.			649
sarva	m. pl. acc.			648
Awman	m. sg. acc.			647
as	impft. [2] ac. sg. 3			635
anya	m. pl. nom.			633
eka	m. sg. nom.			631
loka	m. sg. loc.			627
prawi	ind.			627
agni	m. sg. nom.			620
BU	pr. [1] ac. pl. 3			615
wax	m. du. nom.			614
xeva	m. sg. nom.			607
wax	n. sg. abl.			601
brahman	m. sg. nom.			599
kqwa	n. sg. nom.	kq	pp.	584
ah	pft. ac. pl. 3			579
ixam	f. sg. nom.			578
wAvaw	ind.			575
vacas	n. sg. acc.			574
saFjaya	m. sg. nom.			573
para	n. sg. nom.			571
Sru	imp. [5] ac. sg. 2			564
Awman	m. sg. g.			562
gam	abs.			554
yax	f. sg. nom.			552
samyak	ind.			551
BU	aor. [1] ac. sg. 3			549
vac	pft. ac. pl. 3			541
puruRa	m. sg. nom.			541
arh	pr. [1] ac. sg. 2			533
wax	m. pl. i.			532
asmax	* pl. nom.			526
wAwa	m. sg. voc.			523
as	imp. [2] ac. sg. 3			521
ixam	m. sg. acc.			519
rAma	m. sg. nom.			507
mahaw	m. sg. nom.			504
Bavaw	m. sg. nom.			500
wax	f. sg. g.			497
pqWak	ind.			493
cex	ind.			479
Xarma	m. sg. acc.			476
piwq	m. sg. nom.			475
gawa	m. sg. nom.	gam	pp.	468
prAp	abs.			468
kAla	m. sg. loc.			464
manas	n. sg. i.			458
sarva	m. pl. g.			447
mahAwman	m. sg. g.			445
smqwa	m. sg. nom.	smq	pp.	441
yax	m. sg. i.			440
manas	n. sg. nom.			439
sawya	n. sg. nom.			438
ewax	f. sg. nom.			438
karman	n. sg. acc.			437
BU	abs.			435
brAhmaNa	m. sg. nom.			435
xA	opt. [3] ac. sg. 3			434
anya	m. sg. nom.			429
wapas	n. sg. i.			428
nAnA	ind.			426
Sara	m. pl. i.			425
gam	pft. ac. sg. 3			422
xeva	m. sg. acc.			421
xA	abs.			420
Awman	m. sg. nom.			416
vara	m. sg. nom.			416
praBu	m. sg. nom.			416
wapas	n. sg. acc.			411
ixam	m. sg. loc.			406
