ca	conj.			19651
na	part.			6292
vac	pft. ac. sg. 3			5825
eva	prep.			5692
wu	conj.			4213
waWA	adv.			3414
iwi	part.			3246
wax	m. sg. nom.			2955
hi	part.			2252
wawra	adv.			1721
iva	part.			1587
vA	conj.			1533
yaWA	conj.			1526
wax	n. sg. nom.			1493
wax	m. sg. g.			1405
evam	adv.			1374
yax	m. sg. nom.			1335
max	* sg. g.			1212
wax	m. sg. acc.			1067
waxA	adv.			1047
vE	conj.			1032
BU	opt. [1] ac. sg. 3			997
wvax	* sg. g.			980
wax	m. pl. nom.			976
aWa	conj.			936
wax	n. sg. acc.			915
awra	adv.			889
yax	n. sg. nom.			849
vESampAyana	m. sg. nom.			785
namas	n. sg. nom.			760
sarva	m. pl. nom.			746
ewax	n. sg. nom.			666
ixam	m. sg. nom.			660
as	opt. [2] ac. sg. 3			657
yax	m. pl. nom.			651
max	* sg. nom.			640
BU	pr. [1] ac. sg. 3			628
vac	pr. ps. sg. 3			617
iha	adv.			584
xqRtvA	abs.	xqS		570
wvax	* sg. nom.			561
ixam	m. sg. g.			560
kaWam	adv.			535
yawra	adv.			528
yaxi	conj.			524
wax	m. pl. g.			507
brU	impft. [2] ac. sg. 3			494
rAjan	m. sg. nom.			493
wax	f. sg. nom.			492
as	pr. [2] ac. sg. 3			480
ewax	m. sg. nom.			457
ah	pft. ac. sg. 3			456
ixam	n. sg. nom.			448
BIRma	m. sg. nom.			442
ukwa	n. sg. nom.	vac	pp.	433
kqwvA	abs.	kq		430
wax	m. sg. i.			424
saMSaya	m. sg. nom.			424
saxA	adv.			410
SruwvA	abs.	Sru		408
jan	pr. [4] md. sg. 3			397
nAma	prep.			389
ka	n. sg. nom.			388
BArawa	m. sg. voc.			384
saFjaya	m. sg. nom.			376
yax	m. sg. g.			363
vac	pft. ac. pl. 3			353
ha	part.			352
kq	opt. [8] ac. sg. 3			347
sarva	n. sg. nom.			337
yaxA	adv.			325
ewax	m. pl. nom.			324
Xarma	m. sg. nom.			323
ewax	n. sg. acc.			320
rAjan	m. sg. voc.			312
ixam	n. sg. acc.			311
BU	fut. ac. sg. 3			299
ukwa	m. sg. nom.	vac	pp.	293
BU	pr. [1] ac. pl. 3			291
axya	adv.			291
wvax	* sg. dat.			287
wax	f. sg. acc.			285
brahman	m. sg. nom.			285
yAvaw	adv.			283
awas	adv.			279
para	n. sg. nom.			275
mArkaNdeya	m. sg. nom.			269
puwra	m. sg. nom.			268
wax	m. pl. acc.			265
loka	m. sg. loc.			263
yax	n. sg. acc.			262
xeva	m. pl. nom.			262
wax	m. sg. loc.			257
nara	m. sg. nom.			255
max	* sg. i.			255
wax	n. sg. i.			249
vAkya	n. sg. acc.		pfp. [1]	240
om	part.			234
anya	m. pl. nom.			234
sarva	m. pl. g.			228
sarva	n. sg. acc.			227
qRi	m. pl. nom.			227
wax	n. sg. abl.			226
wAvaw	adv.			223
ah	pft. ac. pl. 3			222
axas	m. sg. nom.			221
vix	pr. ps. sg. 3			218
brAhmaNa	m. sg. nom.			218
as	impft. [2] ac. sg. 3			218
as	pr. [2] ac. sg. 1			215
as	pr. [2] ac. sg. 2			213
wAwa	m. sg. voc.			212
xA	opt. [3] ac. sg. 3			209
Awman	m. sg. g.			208
anya	n. sg. nom.			208
smqwa	m. sg. nom.	smq	pp.	206
BU	impft. [1] ac. sg. 3			203
ISvara	m. sg. nom.			202
wapas	n. sg. i.			201
prawi	prep.			200
Awman	m. sg. acc.			200
wax	m. du. nom.			197
piwq	m. sg. nom.			197
max	* pl. g.			197
vacas	n. sg. acc.			196
kqwa	n. sg. nom.	kq	pp.	195
sawya	n. sg. nom.			193
samyak	adv.			193
yax	f. sg. nom.			192
wvax	* sg. i.			191
raNa	m. sg. loc.			191
arjuna	m. sg. nom.			191
ukwvA	abs.	vac		189
eka	m. sg. nom.			189
max	* sg. acc.			186
Sru	imp. [5] ac. sg. 2			184
XqwarARtra	m. sg. nom.			183
agni	m. sg. nom.			180
nAnA	adv.			179
