abs.	kwvA / wumun / lyap / avyaya
adv.	avyaya
aor. [1] ac. du. 1	karwari luf u xvi parasmEpaxI sic-luk
aor. [1] ac. du. 2	karwari luf ma xvi parasmEpaxI sic-luk
aor. [1] ac. du. 3	karwari luf pra xvi parasmEpaxI sic-luk
aor. [1] ac. pl. 1	karwari luf u bahu parasmEpaxI sic-luk
aor. [1] ac. pl. 2	karwari luf ma bahu parasmEpaxI sic-luk
aor. [1] ac. pl. 3	karwari luf pra bahu parasmEpaxI sic-luk
aor. [1] ac. sg. 1	karwari luf u eka parasmEpaxI sic-luk
aor. [1] ac. sg. 2	karwari luf ma eka parasmEpaxI sic-luk
aor. [1] ac. sg. 3	karwari luf pra eka parasmEpaxI sic-luk
aor. [1] md. du. 1	karwari luf u xvi AwmanepaxI sic-luk
aor. [1] md. du. 2	karwari luf ma xvi AwmanepaxI sic-luk
aor. [1] md. du. 3	karwari luf pra xvi AwmanepaxI sic-luk
aor. [1] md. pl. 1	karwari luf u bahu AwmanepaxI sic-luk
aor. [1] md. pl. 2	karwari luf ma bahu AwmanepaxI sic-luk
aor. [1] md. pl. 3	karwari luf pra bahu AwmanepaxI sic-luk
aor. [1] md. sg. 1	karwari luf u eka AwmanepaxI sic-luk
aor. [1] md. sg. 2	karwari luf ma eka AwmanepaxI sic-luk
aor. [1] md. sg. 3	karwari luf pra eka AwmanepaxI sic-luk
aor. [1] ps. du. 1	karmaNi luf u xvi AwmanepaxI sic-luk
aor. [1] ps. du. 2	karmaNi luf ma xvi AwmanepaxI sic-luk
aor. [1] ps. du. 3	karmaNi luf pra xvi AwmanepaxI sic-luk
aor. [1] ps. pl. 1	karmaNi luf u bahu AwmanepaxI sic-luk
aor. [1] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI sic-luk
aor. [1] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI sic-luk
aor. [1] ps. sg. 1	karmaNi luf u eka AwmanepaxI sic-luk
aor. [1] ps. sg. 2	karmaNi luf ma eka AwmanepaxI sic-luk
aor. [1] ps. sg. 3	karmaNi luf pra eka AwmanepaxI sic-luk
aor. [2] ac. du. 1	karwari luf u xvi parasmEpaxI af
aor. [2] ac. du. 2	karwari luf ma xvi parasmEpaxI af
aor. [2] ac. du. 3	karwari luf pra xvi parasmEpaxI af
aor. [2] ac. pl. 1	karwari luf u bahu parasmEpaxI af
aor. [2] ac. pl. 2	karwari luf ma bahu parasmEpaxI af
aor. [2] ac. pl. 3	karwari luf pra bahu parasmEpaxI af
aor. [2] ac. sg. 1	karwari luf u eka parasmEpaxI af
aor. [2] ac. sg. 2	karwari luf ma eka parasmEpaxI af
aor. [2] ac. sg. 3	karwari luf pra eka parasmEpaxI af
aor. [2] md. du. 1	karwari luf u xvi AwmanepaxI af
aor. [2] md. du. 2	karwari luf ma xvi AwmanepaxI af
aor. [2] md. du. 3	karwari luf pra xvi AwmanepaxI af
aor. [2] md. pl. 1	karwari luf u bahu AwmanepaxI af
aor. [2] md. pl. 2	karwari luf ma bahu AwmanepaxI af
aor. [2] md. pl. 3	karwari luf pra bahu AwmanepaxI af
aor. [2] md. sg. 1	karwari luf u eka AwmanepaxI af
aor. [2] md. sg. 2	karwari luf ma eka AwmanepaxI af
aor. [2] md. sg. 3	karwari luf pra eka AwmanepaxI af
aor. [2] ps. du. 1	karmaNi luf u xvi AwmanepaxI af
aor. [2] ps. du. 2	karmaNi luf ma xvi AwmanepaxI af
aor. [2] ps. du. 3	karmaNi luf pra xvi AwmanepaxI af
aor. [2] ps. pl. 1	karmaNi luf u bahu AwmanepaxI af
aor. [2] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI af
aor. [2] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI af
aor. [2] ps. sg. 1	karmaNi luf u eka AwmanepaxI af
aor. [2] ps. sg. 2	karmaNi luf ma eka AwmanepaxI af
aor. [2] ps. sg. 3	karmaNi luf pra eka AwmanepaxI af
aor. [3] ac. du. 1	karwari luf u xvi parasmEpaxI caf
aor. [3] ac. du. 2	karwari luf ma xvi parasmEpaxI caf
aor. [3] ac. du. 3	karwari luf pra xvi parasmEpaxI caf
aor. [3] ac. pl. 1	karwari luf u bahu parasmEpaxI caf
aor. [3] ac. pl. 2	karwari luf ma bahu parasmEpaxI caf
aor. [3] ac. pl. 3	karwari luf pra bahu parasmEpaxI caf
aor. [3] ac. sg. 1	karwari luf u eka parasmEpaxI caf
aor. [3] ac. sg. 2	karwari luf ma eka parasmEpaxI caf
aor. [3] ac. sg. 3	karwari luf pra eka parasmEpaxI caf
aor. [3] md. du. 1	karwari luf u xvi AwmanepaxI caf
aor. [3] md. du. 2	karwari luf ma xvi AwmanepaxI caf
aor. [3] md. du. 3	karwari luf pra xvi AwmanepaxI caf
aor. [3] md. pl. 1	karwari luf u bahu AwmanepaxI caf
aor. [3] md. pl. 2	karwari luf ma bahu AwmanepaxI caf
aor. [3] md. pl. 3	karwari luf pra bahu AwmanepaxI caf
aor. [3] md. sg. 1	karwari luf u eka AwmanepaxI caf
aor. [3] md. sg. 2	karwari luf ma eka AwmanepaxI caf
aor. [3] md. sg. 3	karwari luf pra eka AwmanepaxI caf
aor. [3] ps. du. 1	karmaNi luf u xvi AwmanepaxI caf
aor. [3] ps. du. 2	karmaNi luf ma xvi AwmanepaxI caf
aor. [3] ps. du. 3	karmaNi luf pra xvi AwmanepaxI caf
aor. [3] ps. pl. 1	karmaNi luf u bahu AwmanepaxI caf
aor. [3] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI caf
aor. [3] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI caf
aor. [3] ps. sg. 1	karmaNi luf u eka AwmanepaxI caf
aor. [3] ps. sg. 2	karmaNi luf ma eka AwmanepaxI caf
aor. [3] ps. sg. 3	karmaNi luf pra eka AwmanepaxI caf
aor. [4] ac. du. 1	karwari luf u xvi parasmEpaxI sic
aor. [4] ac. du. 2	karwari luf ma xvi parasmEpaxI sic
aor. [4] ac. du. 3	karwari luf pra xvi parasmEpaxI sic
aor. [4] ac. pl. 1	karwari luf u bahu parasmEpaxI sic
aor. [4] ac. pl. 2	karwari luf ma bahu parasmEpaxI sic
aor. [4] ac. pl. 3	karwari luf pra bahu parasmEpaxI sic
aor. [4] ac. sg. 1	karwari luf u eka parasmEpaxI sic
aor. [4] ac. sg. 2	karwari luf ma eka parasmEpaxI sic
aor. [4] ac. sg. 3	karwari luf pra eka parasmEpaxI sic
aor. [4] md. du. 1	karwari luf u xvi AwmanepaxI sic
aor. [4] md. du. 2	karwari luf ma xvi AwmanepaxI sic
aor. [4] md. du. 3	karwari luf pra xvi AwmanepaxI sic
aor. [4] md. pl. 1	karwari luf u bahu AwmanepaxI sic
aor. [4] md. pl. 2	karwari luf ma bahu AwmanepaxI sic
aor. [4] md. pl. 3	karwari luf pra bahu AwmanepaxI sic
aor. [4] md. sg. 1	karwari luf u eka AwmanepaxI sic
aor. [4] md. sg. 2	karwari luf ma eka AwmanepaxI sic
aor. [4] md. sg. 3	karwari luf pra eka AwmanepaxI sic
aor. [4] ps. du. 1	karmaNi luf u xvi AwmanepaxI sic
aor. [4] ps. du. 2	karmaNi luf ma xvi AwmanepaxI sic
aor. [4] ps. du. 3	karmaNi luf pra xvi AwmanepaxI sic
aor. [4] ps. pl. 1	karmaNi luf u bahu AwmanepaxI sic
aor. [4] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI sic
aor. [4] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI sic
aor. [4] ps. sg. 1	karmaNi luf u eka AwmanepaxI sic
aor. [4] ps. sg. 2	karmaNi luf ma eka AwmanepaxI sic
aor. [4] ps. sg. 3	karmaNi luf pra eka AwmanepaxI sic
aor. [5] ac. du. 1	karwari luf u xvi parasmEpaxI set-sic
aor. [5] ac. du. 2	karwari luf ma xvi parasmEpaxI set-sic
aor. [5] ac. du. 3	karwari luf pra xvi parasmEpaxI set-sic
aor. [5] ac. pl. 1	karwari luf u bahu parasmEpaxI set-sic
aor. [5] ac. pl. 2	karwari luf ma bahu parasmEpaxI set-sic
aor. [5] ac. pl. 3	karwari luf pra bahu parasmEpaxI set-sic
aor. [5] ac. sg. 1	karwari luf u eka parasmEpaxI set-sic
aor. [5] ac. sg. 2	karwari luf ma eka parasmEpaxI set-sic
aor. [5] ac. sg. 3	karwari luf pra eka parasmEpaxI set-sic
aor. [5] md. du. 1	karwari luf u xvi AwmanepaxI set-sic
aor. [5] md. du. 2	karwari luf ma xvi AwmanepaxI set-sic
aor. [5] md. du. 3	karwari luf pra xvi AwmanepaxI set-sic
aor. [5] md. pl. 1	karwari luf u bahu AwmanepaxI set-sic
aor. [5] md. pl. 2	karwari luf ma bahu AwmanepaxI set-sic
aor. [5] md. pl. 3	karwari luf pra bahu AwmanepaxI set-sic
aor. [5] md. sg. 1	karwari luf u eka AwmanepaxI set-sic
aor. [5] md. sg. 2	karwari luf ma eka AwmanepaxI set-sic
aor. [5] md. sg. 3	karwari luf pra eka AwmanepaxI set-sic
aor. [5] ps. du. 1	karmaNi luf u xvi AwmanepaxI set-sic
aor. [5] ps. du. 2	karmaNi luf ma xvi AwmanepaxI set-sic
aor. [5] ps. du. 3	karmaNi luf pra xvi AwmanepaxI set-sic
aor. [5] ps. pl. 1	karmaNi luf u bahu AwmanepaxI set-sic
aor. [5] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI set-sic
aor. [5] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI set-sic
aor. [5] ps. sg. 1	karmaNi luf u eka AwmanepaxI set-sic
aor. [5] ps. sg. 2	karmaNi luf ma eka AwmanepaxI set-sic
aor. [5] ps. sg. 3	karmaNi luf pra eka AwmanepaxI set-sic
aor. [6] ac. du. 1	karwari luf u xvi parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. du. 2	karwari luf ma xvi parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. du. 3	karwari luf pra xvi parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. pl. 1	karwari luf u bahu parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. pl. 2	karwari luf ma bahu parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. pl. 3	karwari luf pra bahu parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. sg. 1	karwari luf u eka parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. sg. 2	karwari luf ma eka parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] ac. sg. 3	karwari luf pra eka parasmEpaxI set-sic (As-anwa XAwu)
aor. [6] md. du. 1	karwari luf u xvi AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. du. 2	karwari luf ma xvi AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. du. 3	karwari luf pra xvi AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. pl. 1	karwari luf u bahu AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. pl. 2	karwari luf ma bahu AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. pl. 3	karwari luf pra bahu AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. sg. 1	karwari luf u eka AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. sg. 2	karwari luf ma eka AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] md. sg. 3	karwari luf pra eka AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. du. 1	karmaNi luf u xvi AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. du. 2	karmaNi luf ma xvi AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. du. 3	karmaNi luf pra xvi AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. pl. 1	karmaNi luf u bahu AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. sg. 1	karmaNi luf u eka AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. sg. 2	karmaNi luf ma eka AwmanepaxI set-sic (As-anwa XAwu)
aor. [6] ps. sg. 3	karmaNi luf pra eka AwmanepaxI set-sic (As-anwa XAwu)
aor. [7] ac. du. 1	karwari luf u xvi parasmEpaxI ksa
aor. [7] ac. du. 2	karwari luf ma xvi parasmEpaxI ksa
aor. [7] ac. du. 3	karwari luf pra xvi parasmEpaxI ksa
aor. [7] ac. pl. 1	karwari luf u bahu parasmEpaxI ksa
aor. [7] ac. pl. 2	karwari luf ma bahu parasmEpaxI ksa
aor. [7] ac. pl. 3	karwari luf pra bahu parasmEpaxI ksa
aor. [7] ac. sg. 1	karwari luf u eka parasmEpaxI ksa
aor. [7] ac. sg. 2	karwari luf ma eka parasmEpaxI ksa
aor. [7] ac. sg. 3	karwari luf pra eka parasmEpaxI ksa
aor. [7] md. du. 1	karwari luf u xvi AwmanepaxI ksa
aor. [7] md. du. 2	karwari luf ma xvi AwmanepaxI ksa
aor. [7] md. du. 3	karwari luf pra xvi AwmanepaxI ksa
aor. [7] md. pl. 1	karwari luf u bahu AwmanepaxI ksa
aor. [7] md. pl. 2	karwari luf ma bahu AwmanepaxI ksa
aor. [7] md. pl. 3	karwari luf pra bahu AwmanepaxI ksa
aor. [7] md. sg. 1	karwari luf u eka AwmanepaxI ksa
aor. [7] md. sg. 2	karwari luf ma eka AwmanepaxI ksa
aor. [7] md. sg. 3	karwari luf pra eka AwmanepaxI ksa
aor. [7] ps. du. 1	karmaNi luf u xvi AwmanepaxI ksa
aor. [7] ps. du. 2	karmaNi luf ma xvi AwmanepaxI ksa
aor. [7] ps. du. 3	karmaNi luf pra xvi AwmanepaxI ksa
aor. [7] ps. pl. 1	karmaNi luf u bahu AwmanepaxI ksa
aor. [7] ps. pl. 2	karmaNi luf ma bahu AwmanepaxI ksa
aor. [7] ps. pl. 3	karmaNi luf pra bahu AwmanepaxI ksa
aor. [7] ps. sg. 1	karmaNi luf u eka AwmanepaxI ksa
aor. [7] ps. sg. 2	karmaNi luf ma eka AwmanepaxI ksa
aor. [7] ps. sg. 3	karmaNi luf pra eka AwmanepaxI ksa
aor. ac. du. 1	karwari luf u xvi parasmEpaxI
aor. ac. du. 2	karwari luf ma xvi parasmEpaxI
aor. ac. du. 3	karwari luf pra xvi parasmEpaxI
aor. ac. pl. 1	karwari luf u bahu parasmEpaxI
aor. ac. pl. 2	karwari luf ma bahu parasmEpaxI
aor. ac. pl. 3	karwari luf pra bahu parasmEpaxI
aor. ac. sg. 1	karwari luf u eka parasmEpaxI
aor. ac. sg. 2	karwari luf ma eka parasmEpaxI
aor. ac. sg. 3	karwari luf pra eka parasmEpaxI
aor. md. du. 1	karwari luf u xvi AwmanepaxI
aor. md. du. 2	karwari luf ma xvi AwmanepaxI
aor. md. du. 3	karwari luf pra xvi AwmanepaxI
aor. md. pl. 1	karwari luf u bahu AwmanepaxI
aor. md. pl. 2	karwari luf ma bahu AwmanepaxI
aor. md. pl. 3	karwari luf pra bahu AwmanepaxI
aor. md. sg. 1	karwari luf u eka AwmanepaxI
aor. md. sg. 2	karwari luf ma eka AwmanepaxI
aor. md. sg. 3	karwari luf pra eka AwmanepaxI
aor. ps. du. 1	karmaNi luf u xvi AwmanepaxI
aor. ps. du. 2	karmaNi luf ma xvi AwmanepaxI
aor. ps. du. 3	karmaNi luf pra xvi AwmanepaxI
aor. ps. pl. 1	karmaNi luf u bahu AwmanepaxI
aor. ps. pl. 2	karmaNi luf ma bahu AwmanepaxI
aor. ps. pl. 3	karmaNi luf pra bahu AwmanepaxI
aor. ps. sg. 1	karmaNi luf u eka AwmanepaxI
aor. ps. sg. 2	karmaNi luf ma eka AwmanepaxI
aor. ps. sg. 3	karmaNi luf pra eka AwmanepaxI
ben. ac. du. 1	karwari ASIrlif u xvi parasmEpaxI
ben. ac. du. 2	karwari ASIrlif ma xvi parasmEpaxI
ben. ac. du. 3	karwari ASIrlif pra xvi parasmEpaxI
ben. ac. pl. 1	karwari ASIrlif u bahu parasmEpaxI
ben. ac. pl. 2	karwari ASIrlif ma bahu parasmEpaxI
ben. ac. pl. 3	karwari ASIrlif pra bahu parasmEpaxI
ben. ac. sg. 1	karwari ASIrlif u eka parasmEpaxI
ben. ac. sg. 2	karwari ASIrlif ma eka parasmEpaxI
ben. ac. sg. 3	karwari ASIrlif pra eka parasmEpaxI
ben. md. du. 1	karwari ASIrlif u xvi AwmanepaxI
ben. md. du. 2	karwari ASIrlif ma xvi AwmanepaxI
ben. md. du. 3	karwari ASIrlif pra xvi AwmanepaxI
ben. md. pl. 1	karwari ASIrlif u bahu AwmanepaxI
ben. md. pl. 2	karwari ASIrlif ma bahu AwmanepaxI
ben. md. pl. 3	karwari ASIrlif pra bahu AwmanepaxI
ben. md. sg. 1	karwari ASIrlif u eka AwmanepaxI
ben. md. sg. 2	karwari ASIrlif ma eka AwmanepaxI
ben. md. sg. 3	karwari ASIrlif pra eka AwmanepaxI
ben. ps. du. 1	karmaNi ASIrlif u xvi AwmanepaxI
ben. ps. du. 2	karmaNi ASIrlif ma xvi AwmanepaxI
ben. ps. du. 3	karmaNi ASIrlif pra xvi AwmanepaxI
ben. ps. pl. 1	karmaNi ASIrlif u bahu AwmanepaxI
ben. ps. pl. 2	karmaNi ASIrlif ma bahu AwmanepaxI
ben. ps. pl. 3	karmaNi ASIrlif pra bahu AwmanepaxI
ben. ps. sg. 1	karmaNi ASIrlif u eka AwmanepaxI
ben. ps. sg. 2	karmaNi ASIrlif ma eka AwmanepaxI
ben. ps. sg. 3	karmaNi ASIrlif pra eka AwmanepaxI
ca. abs.	Nic avyaya
ca. aor. [3] ac. du. 1	Nic karwari luf u xvi parasmEpaxI caf
ca. aor. [3] ac. du. 2	Nic karwari luf ma xvi parasmEpaxI caf
ca. aor. [3] ac. du. 3	Nic karwari luf pra xvi parasmEpaxI caf
ca. aor. [3] ac. pl. 1	Nic karwari luf u bahu parasmEpaxI caf
ca. aor. [3] ac. pl. 2	Nic karwari luf ma bahu parasmEpaxI caf
ca. aor. [3] ac. pl. 3	Nic karwari luf pra bahu parasmEpaxI caf
ca. aor. [3] ac. sg. 1	Nic karwari luf u eka parasmEpaxI caf
ca. aor. [3] ac. sg. 2	Nic karwari luf ma eka parasmEpaxI caf
ca. aor. [3] ac. sg. 3	Nic karwari luf pra eka parasmEpaxI caf
ca. aor. [3] md. du. 1	Nic karwari luf u xvi AwmanepaxI caf
ca. aor. [3] md. du. 2	Nic karwari luf ma xvi AwmanepaxI caf
ca. aor. [3] md. du. 3	Nic karwari luf pra xvi AwmanepaxI caf
ca. aor. [3] md. pl. 1	Nic karwari luf u bahu AwmanepaxI caf
ca. aor. [3] md. pl. 2	Nic karwari luf ma bahu AwmanepaxI caf
ca. aor. [3] md. pl. 3	Nic karwari luf pra bahu AwmanepaxI caf
ca. aor. [3] md. sg. 1	Nic karwari luf u eka AwmanepaxI caf
ca. aor. [3] md. sg. 2	Nic karwari luf ma eka AwmanepaxI caf
ca. aor. [3] md. sg. 3	Nic karwari luf pra eka AwmanepaxI caf
ca. aor. [3] ps. du. 1	Nic karmaNi luf u xvi AwmanepaxI caf
ca. aor. [3] ps. du. 2	Nic karmaNi luf ma xvi AwmanepaxI caf
ca. aor. [3] ps. du. 3	Nic karmaNi luf pra xvi AwmanepaxI caf
