ca	2	35234
na	2	11086
eva	2	10413
uvAca	2	9067
wu	2	7826
a	1	6894
iwi	2	6859
waWA	2	6004
mahA	1	5005
sa	2	4962
waw	2	4873
wawaH	2	4641
hi	2	4043
sarva	1	3993
iva	2	3669
we	2	3488
wawra	2	3241
vA	2	3004
wasya	2	2949
yaWA	2	2915
evam	2	2848
yaH	2	2660
wam	2	2437
yaw	2	2217
vE	2	2135
waw	1	2122
waxA	2	1971
ewaw	2	1894
aWa	2	1825
Xarma	1	1819
xeva	1	1690
Bavew	2	1637
ixam	2	1584
awra	2	1426
wena	2	1412
sva	1	1410
sarve	2	1401
xqRtvA	2	1379
ayam	2	1367
brahma	1	1356
saH	2	1320
asya	2	1303
Bavawi	2	1238
ye	2	1226
me	2	1226
sA	2	1166
aham	2	1155
syAw	2	1146
sarvam	2	1136
SruwvA	2	1110
rAja	1	1087
namaH	2	1077
abravIw	2	1075
vESampAyanaH	2	1065
iha	2	1064
wri	1	1062
weRAm	2	1048
arWam	2	1003
kqwa	1	950
yawra	2	937
ucyawe	2	934
wvam	2	933
yaxi	2	928
ha	2	914
param	2	910
rAjA	2	901
nara	1	896
aswi	2	892
kaWam	2	875
kim	2	862
Axi	1	851
kqwvA	2	845
eka	1	835
wava	2	833
AwmA	2	829
wasmin	2	829
nAma	2	825
mama	2	825
yuXiRTiraH	2	824
ukwam	2	804
eRa	2	797
saxA	2	795
Aha	2	783
BIRmaH	2	772
parama	1	755
yasya	2	754
wAm	2	731
Palam	2	713
BArawa	2	712
kAla	1	702
vAwa	1	696
SrI	1	693
XarmaH	2	688
arWa	1	675
loka	1	670
puwraH	2	666
jAyawe	2	659
vacanam	2	653
xvi	1	651
rAjan	2	645
balam	2	641
kuryAw	2	639
agni	1	636
karma	2	632
wAn	2	615
piwwa	1	609
bala	1	608
Sawa	1	604
ukwaH	2	603
puruRa	1	603
guNa	1	594
sma	2	594
qRayaH	2	593
saMSayaH	2	592
yaxA	2	588
uwwamam	2	588
BagavAn	2	585
kqwam	2	585
kAma	1	584
